Date,Open,High,Low,Close,Adj Close,Volume
2015-12-28,50.049999,51.169998,50.049999,50.650002,47.397167,78200
2015-12-29,50.660000,53.220001,46.930000,49.509998,46.330376,810200
2015-12-30,49.009998,51.970001,48.680000,49.520000,46.339733,315100
2015-12-31,49.410000,50.330002,48.360001,49.000000,45.853134,189400
2016-01-04,48.500000,51.070000,47.349998,48.459999,45.347813,488500
2016-01-05,48.459999,49.840000,47.470001,49.130001,45.974785,339600
2016-01-06,48.619999,50.490002,47.730000,49.709999,46.517532,379400
2016-01-07,51.200001,51.200001,48.029999,48.119999,45.029648,500800
2016-01-08,48.520000,49.240002,47.680000,48.680000,45.553684,337000
2016-01-11,48.689999,50.110001,48.070000,49.430000,46.255516,264800
2016-01-12,49.770000,50.599998,49.270000,50.230000,47.004139,303100
2016-01-13,50.410000,52.580002,49.580002,49.759998,46.564320,284900
2016-01-14,49.869999,51.950001,49.330002,50.680000,47.425236,171900
2016-01-15,49.810001,50.759998,49.220001,50.660000,47.406525,276100
2016-01-19,51.180000,52.540001,50.820000,52.230000,48.875690,204200
2016-01-20,51.150002,53.000000,50.250000,52.310001,48.950562,271000
2016-01-21,52.509998,52.959999,50.959999,51.509998,48.201935,282000
2016-01-22,51.750000,52.130001,51.099998,51.980000,48.641750,137600
2016-01-25,51.880001,52.040001,50.230000,50.430000,47.191296,135300
2016-01-26,50.770000,51.590000,49.869999,51.180000,47.893127,147900
2016-01-27,50.990002,51.189999,49.380001,49.790001,46.592396,110900
2016-01-28,50.240002,50.630001,49.220001,49.880001,46.676617,126300
2016-01-29,49.849998,51.889999,49.720001,51.750000,48.426525,282700
2016-02-01,51.490002,53.720001,51.240002,53.240002,49.820831,166100
2016-02-02,52.580002,52.919998,50.480000,50.799999,47.537529,112500
2016-02-03,51.049999,51.049999,49.630001,50.570000,47.322304,111100
2016-02-04,50.360001,50.939999,48.840000,49.250000,46.087078,89400
2016-02-05,49.150002,49.349998,47.680000,47.810001,44.739555,149500
2016-02-08,47.480000,49.150002,47.259998,48.779999,45.647255,88500
2016-02-09,48.470001,49.869999,48.130001,49.430000,46.255516,97300
2016-02-10,49.750000,49.919998,47.250000,47.639999,44.580471,190500
2016-02-11,47.189999,48.540001,47.029999,48.220001,45.123226,87200
2016-02-12,49.049999,49.779999,47.650002,49.709999,46.517532,105000
2016-02-16,49.919998,50.150002,48.849998,49.610001,46.423954,151900
2016-02-17,49.680000,51.500000,49.419998,50.779999,47.518814,154300
2016-02-18,50.849998,51.750000,50.360001,51.490002,48.183220,139000
2016-02-19,51.470001,53.349998,50.619999,53.040001,49.633678,158300
2016-02-22,53.250000,53.500000,50.779999,50.939999,47.668541,177300
2016-02-23,50.730000,52.509998,50.730000,52.060001,48.716614,188500
2016-02-24,51.770000,55.549999,51.520000,55.509998,51.945042,232100
2016-02-25,55.470001,55.709999,53.060001,53.750000,50.298080,229000
2016-02-26,54.320000,55.599998,52.790001,53.959999,50.494591,108400
2016-02-29,53.700001,54.230000,52.560001,53.560001,50.120281,194200
2016-03-01,54.139999,54.139999,52.599998,53.529999,50.092201,280900
2016-03-02,52.250000,52.320000,46.560001,48.840000,45.703407,859800
2016-03-03,48.639999,49.799999,47.430000,48.490002,45.375889,189800
2016-03-04,48.650002,49.450001,47.410000,47.840000,44.767632,168200
2016-03-07,47.840000,49.900002,47.500000,49.349998,46.180653,190400
2016-03-08,49.570000,55.470001,49.570000,54.599998,51.093491,469400
2016-03-09,54.529999,55.930000,54.180000,54.660000,51.149639,160600
2016-03-10,54.950001,54.950001,53.619999,54.430000,50.934410,170100
2016-03-11,54.939999,55.740002,54.040001,54.950001,51.421013,184400
2016-03-14,54.959999,55.000000,53.349998,53.869999,50.410366,210700
2016-03-15,53.560001,54.490002,53.119999,53.959999,50.494591,247200
2016-03-16,53.580002,55.209999,52.880001,54.910000,51.383575,179100
2016-03-17,55.020000,55.880001,54.139999,55.820000,52.235138,160700
2016-03-18,56.139999,56.139999,55.230000,55.639999,52.066700,197500
2016-03-21,55.860001,56.520000,55.180000,55.680000,52.104130,138400
2016-03-22,55.259998,55.900002,54.630001,55.560001,51.991837,170200
2016-03-23,55.360001,56.049999,54.349998,54.380001,50.887623,143700
2016-03-24,54.320000,55.380001,53.770000,53.790001,50.335510,98200
2016-03-28,54.160000,56.060001,53.860001,56.000000,52.403580,261100
2016-03-29,55.880001,56.849998,55.430000,56.320000,52.703026,235700
2016-03-30,56.480000,57.580002,54.820000,57.119999,53.451649,280800
2016-03-31,57.000000,58.110001,55.490002,57.060001,53.395504,340400
2016-04-01,56.610001,57.709999,56.180000,57.540001,53.844677,121900
